gene,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
SPTY2D1,817.3358535132854,-0.11128557607153512,0.15422487173106972,-0.720694992869481,0.4710971937750058,0.9999903719397224
TMEM86A,5.271010703121045,-0.05606200216615925,0.11077002742193191,-0.6781474773325671,0.4976781904391536,0.9999903719397224
IGSF22,3.5032194486134807,-0.05622312731774945,0.0913560943743807,-1.0341381698460064,0.30107157431155407,0.9999903719397224
ZDHHC13,468.73766242089755,-0.0859847289435211,0.1444517862043047,-0.6110391964806378,0.5411736315737301,0.9999903719397224
E2F8,44.329535368534316,0.15815261313160606,0.14406744612507058,1.0484419854012905,0.2944350181626029,0.9999903719397224
"NAV2",48.16754131674092,0.12285154519348047,0.15023353487201555,0.8703515808171172,0.384108298592473,0.9999903719397224
HTATIP2,2878.1002782779447,0.08264957263036603,0.16354928830395782,0.4940698562985919,0.6212568454779723,0.9999903719397224
PRMT3,131.44140467044878,0.0577872797632123,0.16337561392022515,0.3527983535502965,0.7242396181869165,0.9999903719397224
NELL1,38.870903609033725,0.2824283402474146,0.09469216636935107,4.906450969278049,9.273915826319325e-7,1.609024395866403e-4
ANO5,63.27851228840912,0.05859213332087353,0.14473611266917089,0.3914976975523469,0.695429390224674,0.9999903719397224
FANCF,166.14267532522797,-0.009479559341188692,0.162711213610233,-0.060413951283866854,0.9518259474359986,0.9999903719397224
GAS2,6.950434382100149,-0.04288063332408001,0.09997890466757905,-0.3977575415631858,0.6908089173382039,0.9999903719397224
SVIP,613.2453044864665,-0.075233814645526,0.1519635403163612,-0.5260449691729405,0.598856962702968,0.9999903719397224
CCDC34,82.13952679595096,0.18030188981619777,0.16334261432985323,1.0918247843192985,0.27491012309431556,0.9999903719397224
LGR4,4542.4159858568,-0.03978512042091847,0.12919916177443186,-0.31425791257541086,0.7533251610003243,0.9999903719397224
LIN7C,699.0776464221045,-0.009702807416210933,0.15949947676126852,-0.061052400920675425,0.9513174769532557,0.9999903719397224
KIF18A,131.29088937950416,0.06675521065449004,0.1630967912444328,0.4094741467014554,0.682191735807395,0.9999903719397224
METTL15,654.3772644879637,-0.0613243244902773,0.13194046349614683,-0.4655066405022896,0.6415686826139246,0.9999903719397224
ARL14EP,171.464169146874,-0.1339798989646534,0.16354989928654134,-0.8102599742932967,0.4177907744240188,0.9999903719397224
DNAJC24,124.55968557049967,-0.09670896829295723,0.16053148626810967,-0.5976490801738992,0.5500741082303613,0.9999903719397224
IMMP1L,88.75244383511321,0.12645069509472065,0.1617855649308995,0.7774674599761368,0.4368830254090953,0.9999903719397224
ELP4,127.27540114246442,-0.04054814377704512,0.16250217012663015,-0.24894325919955018,0.8034046723902286,0.9999903719397224
RCN1,702.9314916276634,-0.02770266918819207,0.16318368360211996,-0.17203470786213745,0.863410242830591,0.9999903719397224
EIF3M,2287.4538551040846,-0.13138360055669326,0.13206121803952395,-0.999754710420202,0.31742922821624264,0.9999903719397224
PRRG4,2048.9440020295906,-0.04606598652403944,0.147372744397553,-0.3261834202713696,0.7442855847204459,0.9999903719397224
QSER1,470.95665976634615,-0.17803206069377722,0.14043616000131373,-1.26718414866687,0.20508945230538933,0.9999903719397224
DEPDC7,155.7469896144963,0.38069362651431365,0.15820577855601198,2.419254220470658,0.015552366776090176,0.45381099326868585
TCP11L1,216.5328264505384,-0.04766082765844983,0.1593209626000743,-0.29925019552024146,0.7647491524840758,0.9999903719397224
CSTF3,224.31689004116492,-0.08422103099601587,0.13377330940614127,-0.6300632303007792,0.5286532156222862,0.9999903719397224
HIPK3,1008.0552855150759,-0.06680789519239304,0.1295999718017661,-0.5158110110422485,0.6059864113398273,0.9999903719397224
KIAA1549L,126.96545194963029,0.12572534508888958,0.13300761184441628,1.2104333819431994,0.22611263903473255,0.9999903719397224
CD59,6656.222609808396,-0.11899871154476224,0.12934246510783365,-0.9229627540849323,0.3560266155248586,0.9999903719397224
FBXO3,848.6224486537693,0.017409006686146148,0.16120536137365626,0.10146448737552684,0.9191817470037492,0.9999903719397224
LMO2,15.842177271988898,-0.10595118236404703,0.147774567482286,-0.700628547549126,0.4835348579242302,0.9999903719397224
CAPRIN1,3364.5101611887935,-0.14883512821235426,0.1491281931681145,-0.9954383972758901,0.3195230914576066,0.9999903719397224
"NAT10",269.69375843677864,-0.09936600712082597,0.1599515187455464,-0.6319294060935435,0.5274330071908868,0.9999903719397224
ABTB2,912.3805866743689,0.029134609926151835,0.1514638420926218,0.19477556262277917,0.8455686540786537,0.9999903719397224
CAT,2369.4818934832356,0.5388401118989627,0.13726227047427364,3.9269625227751344,8.602537917773087e-5,0.008696691679235329
EHF,3576.3456073516263,-0.12219837841914465,0.14140557532920128,-0.8642051154574273,0.3874752225961673,0.9999903719397224
APIP,724.2643516787691,-0.05686671506074466,0.16221867393563608,-0.3368178735247059,0.7362541984393551,0.9999903719397224
PDHX,424.89411011923323,-0.04019888878249694,0.15641045664111813,-0.255753875015364,0.7981408919560453,0.9999903719397224
CD44,1571.876446921536,-0.16010243400091417,0.161002640132413,-0.9978577712030197,0.3183483316087981,0.9999903719397224
TRIM44,697.8339056921226,0.008250504561585787,0.1496054659280221,0.05202274628286028,0.9585105690389937,0.9999903719397224
LDLRAD3,23.06427972105297,0.07772918738839793,0.13776709162448816,0.5113923155609633,0.609076374679614,0.9999903719397224
COMMD9,293.78383795615326,0.051882459018847776,0.1574978233398036,0.32298872660436784,0.7467037797630751,0.9999903719397224
PRR5L,818.3805929888796,-0.11553080303235418,0.14460422203924084,-0.8038610692592113,0.42147721580351294,0.9999903719397224
TRAF6,300.2735446769041,-0.056971895561636995,0.15204772019258334,-0.3747571520867366,0.707841083344015,0.9999903719397224
RAG1,17.96550359975507,0.29780211664773815,0.15409707432822584,1.9441128118025501,0.05188184862181489,0.8006142481436075
API5,1434.0462016254817,0.03110689616004551,0.11817388418692093,0.2628372121102318,0.7926760524935097,0.9999903719397224
TTC17,1098.0998820909313,-0.11091663194376826,0.16349656348732572,-0.699089317935336,0.4844962137951709,0.9999903719397224
HSD17B12,2187.237943196663,-0.03030947435254271,0.14607182501499652,-0.20777504642740127,0.8354046174751143,0.9999903719397224
ALKBH3,178.72494212208827,0.073485452465352,0.14496353309362411,0.5028353324023186,0.6150800501440691,0.9999903719397224
