gene,baseMean,log2FoldChange,lfcSE,pvalue,padj
NOC2L,579.6845702037581,-0.006707224768911568,0.0436948518676662,0.5869901849348398,0.9999903719397224
KLHL17,76.58341140842741,-3.976904376870237e-4,0.044757065256059776,0.9087173421425825,0.9999903719397224
PLEKHN1,104.33938522104947,-0.0033465778828319416,0.04472657685345878,0.5689751411586355,0.9999903719397224
PERM1,18.045136099927984,8.674758210489265e-4,0.044686376886836215,0.8484705398531711,0.9999903719397224
HES4,228.9654563855581,-0.0032130219181434783,0.04493924564804528,0.35271626780447207,0.9999903719397224
ISG15,146.27876709668524,0.001226606389444739,0.044730949776170294,0.771530897034387,0.9999903719397224
AGRN,7944.884422419529,-0.039207887225246596,0.06544757015196666,0.034152170065261646,0.6787066204320076
RNF223,104.68619126438473,0.0015792204387288583,0.04455169409109846,0.7898332382386355,0.9999903719397224
C1orf159,232.41102327880077,-7.654091661797505e-4,0.04385746139652717,0.9003078439456913,0.9999903719397224
TTLL10,6.223650589247974,-0.0010323066113123894,0.044873745650689474,0.6092932858250848,0.9999903719397224
SDF4,4676.914902005614,0.005183878156965783,0.04435258214035447,0.5940829942780358,0.9999903719397224
B3GALT6,210.4527584554152,0.0017249734035102034,0.04451654837243771,0.7811923321507113,0.9999903719397224
C1QTNF12,163.5435558059883,0.010547458224184837,0.046519003261697306,0.02762902610662868,0.6194686864061452
UBE2J2,677.9489457959014,0.010219235623311066,0.0443033003576638,0.41456083164599317,0.9999903719397224
SCNN1D,59.38030824608077,1.1389318493585427,0.5590153652462093,7.890552494964716e-4,0.05417476122077647
ACAP3,452.08154354620564,0.004308689085823474,0.04394336306881518,0.6786837031825512,0.9999903719397224
PUSL1,133.60688153432034,0.018290966405351317,0.04859830248175262,0.12435933009229697,0.9999903719397224
INTS11,1043.7618950777367,-0.0015195996236102387,0.04243480333581315,0.9025414588064651,0.9999903719397224
CPTP,665.3172638876013,0.02480337470397069,0.0521291843574935,0.09596097617984443,0.9999903719397224
TAS1R3,8.601856112601046,-0.001228608988410507,0.044820884752617654,0.6859142850828778,0.9999903719397224
DVL1,4119.5284962821725,0.004872499361671226,0.0438546745779991,0.6756176896838447,0.9999903719397224
MXRA8,121.21857940668372,0.0065321006456736845,0.04534207404122804,0.1699255623716856,0.9999903719397224
AURKAIP1,1397.428188764787,0.0017723484707366157,0.04360189606463478,0.8553928451637784,0.9999903719397224
CCNL2,936.9199242082028,-9.360868878099379e-4,0.044793666604072545,0.7719780519891426,0.9999903719397224
MRPL20,597.7183075125507,8.837962797937607e-4,0.044575430124743284,0.8365873879909832,0.9999903719397224
VWA1,646.0299257049229,-0.008359766331730445,0.045076787766965797,0.35907303609498464,0.9999903719397224
ATAD3C,4.32083308481838,-0.002386189735101312,0.044951126403566306,0.24235038717659896,0.9999903719397224
ATAD3B,136.12368453585768,5.85392835480013e-4,0.04473396929379454,0.8834914812234985,0.9999903719397224
ATAD3A,249.7678127941964,-0.00809597769502805,0.045129016029265515,0.33865705941437707,0.9999903719397224
TMEM240,5.478487498705546,-0.002964022978484547,0.04498995523878202,0.18491708200602452,0.9999903719397224
SSU72,1414.970639576956,-0.007815613852288445,0.04507863957167974,0.3674511971692036,0.9999903719397224
FNDC10,19.46290196569753,-0.0021385239664615365,0.04484696846096487,0.5259113970111655,0.9999903719397224
MIB2,987.9448686202478,-0.01455931793436154,0.0469424722056402,0.17554073176276988,0.9999903719397224
CDK11B,809.5279838355883,-0.024970182616638817,0.052132983465928484,0.09828947519142699,0.9999903719397224
SLC35E2B,804.1240947801281,-0.00137092963194409,0.0442806870716399,0.8530115094467579,0.9999903719397224
CDK11A,32.029164279435044,-0.0018362796275134643,0.04481778156075697,0.6157984075605334,0.9999903719397224
"NADK",1715.8030620618042,0.008745242105640065,0.045333995593895574,0.28795877308842127,0.9999903719397224
GNB1,9882.358660771339,-2.0076768129615005e-4,0.04396654768592845,0.9744640432029329,0.9999903719397224
TMEM52,29.28285718373619,0.003056387086114232,0.04491480950027475,0.3913549961665495,0.9999903719397224
CFAP74,20.94138506209155,0.009979718387057105,0.046480624719399226,0.0012608310505401303,0.07858160125186764
PRKCZ,869.0480552116494,0.022824149141706933,0.0517020342554962,0.05673397610226075,0.8277358172465065
FAAP20,314.6733192249896,-0.005544980505949872,0.04445546563311121,0.5348718594332814,0.9999903719397224
SKI,566.9959741274919,-8.617878879249225e-4,0.044079722527250176,0.9183368772798486,0.9999903719397224
MORN1,36.33971699928876,-5.214354592442023e-4,0.04459397522670757,0.9270857113376672,0.9999903719397224
RER1,1572.6164993566279,-0.0031696187589778497,0.04357319485580749,0.7722270177387643,0.9999903719397224
PEX10,194.42285870580534,1.6331507106659893e-4,0.043566560292267825,0.9881009195886005,0.9999903719397224
PLCH2,111.9435899636518,-0.004373507760957171,0.045041574470156553,0.27061589197499875,0.9999903719397224
PANK4,356.6684716716028,0.00336776006265558,0.0438687140706752,0.8468244920059814,0.9999903719397224
TNFRSF14,2166.5720343709636,-0.0015022595119683763,0.04377260698050526,0.8775732468290703,0.9999903719397224
PRXL2B,1866.8986399177138,-0.0010925472331518118,0.043924653577307196,0.9078091843867532,0.9999903719397224
MMEL1,67.03385264712311,-0.0029588895032540354,0.04482690841342487,0.5059850616065181,0.9999903719397224
PRDM16,116.15504687240913,2.6530951015275064e-4,0.04466599136162875,0.9678103151137869,0.9999903719397224
ARHGEF16,2168.9787382931145,0.0010163766220160858,0.039925091853065434,0.96321035383383935,0.9999903719397224
MEGF6,358.170686914002,-0.010161799599630511,0.04606237708098729,0.1435900020503244,0.9999903719397224
TPRG1L,1995.2660182978457,0.011908495585284012,0.04523939754540416,0.33737275397454763,0.9999903719397224
WRAP73,201.65644192719463,-0.015966813588581905,0.04767595794624713,0.14112192596205153,0.9999903719397224
SMIM1,22.891173895315234,-0.0025214997742819332,0.04480296271232767,0.5512512860834203,0.9999903719397224
LRRC47,535.5124188031425,-0.00321203291999047,0.04427174299428709,0.700052687067781,0.9999903719397224
CEP104,332.1065419382211,0.002705426307022341,0.04288844712555853,0.835858322802197,0.9999903719397224
DFFB,46.81830447455283,0.007905459506244158,0.045428591203033886,0.2313331039900272,0.9999903719397224
C1orf174,276.1360570196378,-6.233998891272553e-4,0.04428357471391881,0.9256393545837718,0.9999903719397224
NPHP4,92.04090720717264,0.004793319058377877,0.04484751296521691,0.4535304415246565,0.9999903719397224
KCNAB2,284.4612958327662,-0.0033598332836850577,0.04497659696998949,0.28625019945535135,0.9999903719397224
CHD5,8.075714319526615,0.0017493981126179689,0.044885818941761434,0.47768903902563464,0.9999903719397224
RPL22,1789.386590793808,1.3316174929413102e-4,0.044410667768609254,0.9801931416525732,0.9999903719397224
RNF207,197.3930667605925,-7.484084420575274e-4,0.04481102206834963,0.7985981338107562,0.9999903719397224
ICMT,1842.6043101320283,0.0029307143698792653,0.044535795515450644,0.6732025206017822,0.9999903719397224
GPR153,1057.0668059886182,-0.008259114231670065,0.04535220763841717,0.3012068241843054,0.9999903719397224
ACOT7,562.5308445103078,0.43261738914430165,0.7311787521080694,0.004974993016611144,0.21506375535444608
HES2,85.15471978712726,-0.006748241563983959,0.045086454058690884,0.28493537932034824,0.9999903719397224
ESPN,457.3485211318683,0.004684862520882374,0.0450452765391085,0.27291153546039815,0.9999903719397224
TNFRSF25,54.04627362892744,-0.003482293885297887,0.04498029446964659,0.2952550680371976,0.9999903719397224
PLEKHG5,201.25579182782212,-0.01409649872750399,0.04780982706347696,0.025200919577814885,0.5882811026537551
NOL9,100.66836061397532,0.0038277001917634166,0.04416572159074058,0.6648018443580956,0.9999903719397224
ZBTB48,191.45531396732682,-0.0014506176322804931,0.04426310001603599,0.8458315401320606,0.9999903719397224
KLHL21,447.0922724517178,-0.010351926315727747,0.04554709461536351,0.28340790736462884,0.9999903719397224
PHF13,448.2323754187877,-0.012990280650316046,0.04614590220685444,0.2414403883839888,0.9999903719397224
THAP3,204.95925535050333,-0.01176065386524924,0.04601968562217625,0.2300076764958943,0.9999903719397224
DNAJC11,307.8234974922249,9.382060741380251e-4,0.04423560610747915,0.9038885669202454,0.9999903719397224
CAMTA1,443.5893447487453,-0.003683728811049538,0.04448513721072051,0.6260756065180053,0.9999903719397224
VAMP3,3697.2247708019295,-0.0020087194800354753,0.0441334303279969,0.8100208168049627,0.9999903719397224
PER3,215.31406486053456,0.0045103872309973075,0.04463752072122516,0.5325572865057363,0.9999903719397224
UTS2,11.450581158880683,0.001930085395074033,0.044889021630521435,0.45791006023178504,0.9999903719397224
TNFRSF9,50.253374937219164,0.0024297616662726507,0.04495529896199,0.23541606486549116,0.9999903719397224
PARK7,1994.035521813223,0.0016730883623447524,0.04446067051235689,0.8339722405396661,0.9999903719397224
ERRFI1,2110.8551797552504,-0.016098301359899495,0.04798435559121856,0.10716432896428801,0.9999903719397224
RERE,1990.7834686815477,-0.008694542820100576,0.04526046159798516,0.33176695967813785,0.9999903719397224
ENO1,27960.837946392203,0.0016824106345497188,0.04398615010088878,0.8537446038148,0.9999903719397224
SLC2A5,260.4268559714901,7.505403123787846,0.5533830859140151,1.6550669686151396e-42,2.124940481004978e-38
GPR157,400.96228507737277,0.038877401572770046,0.06660923870661292,0.030159874406606283,0.6442972171487822
H6PD,1126.889145060445,-4.12163087025414e-4,0.044366811830556886,0.9358316046097328,0.9999903719397224
SPSB1,670.6744748274713,2.4076276060653823e-4,0.044426801628760955,0.9628600951765105,0.9999903719397224
SLC25A33,138.3286458675854,0.0033642920843877907,0.04433557492276712,0.6751465835437968,0.9999903719397224
TMEM201,31.403627647989193,0.0021991230738745288,0.04469270999043065,0.6623443655260142,0.9999903719397224
PIK3CD,80.99525972063792,0.0011326129997505955,0.04459757755921252,0.835005206491286,0.9999903719397224
CLSTN1,8064.996881854626,-0.00686808926279721,0.04527133742454529,0.22379111914754202,0.9999903719397224
CTNNBIP1,861.3225673774144,0.002497616056816692,0.04462267986386138,0.6741211148272693,0.9999903719397224
LZIC,862.6373497753868,-0.0015095626849631655,0.04431848262172203,0.8348624776244042,0.9999903719397224
NMNAT1,286.4286011098421,-3.376411397563467e-4,0.044290125182335646,0.9872753354168586,0.9999903719397224
