	H174CON1	H174CON2	HNF4AOE1	HNF4AOE2	HNF4GOE1	HNF4GOE2
Eloc	893.504745117578	789.345558013279	726.638097081148	858.124650485074	874.557689366792	779.967674824729
Tmem70	782.447658153812	661.371245754317	747.524819992709	653.332256594991	1017.05181390721	794.967053186743
Ly96	125.19162530461	102.37944980717	87.9440964697305	90.1531733972646	57.8882380945433	75.8792081843062
Jph1	207.979635586691	222.163406081558	196.774915851022	197.001378905134	277.863542853808	335.280222209725
Gdap1	13.1249284593543	1.0237944980717	5.49650602935816	4.45200856282788	13.3588241756638	7.05853099388895
Pkhd1	249.373640727731	189.401982143264	279.222506291394	261.555503066138	254.70824761599	143.817569000487
Mcm3	632.015785811982	329.661828379087	924.512314138042	465.234894815513	2010.05774429822	472.921576590559
Paqr8	2055.56571871117	2036.32725666461	1668.73923051314	1649.46917252773	2353.82481975197	1470.82139585161
Efhc1	75.7207411116592	58.3562863900868	32.9790361761489	55.6501070353485	30.280001464838	107.642597656806
Tram2	54.5189336003946	51.1897249035849	101.13571094019	70.1191348645391	72.1376505485847	67.9383608161811
Tmem14a	198.893146653291	199.639927123981	161.59727726313	214.809413156445	118.448241024219	143.817569000487
Gsta3	206.970025705202	319.42388339837	404.54284376076	258.216496644017	218.194128202509	273.518076013197
Khdc1a	222.114173927534	148.450202220396	100.036409734318	47.8590920503997	30.280001464838	32.6457058467364
Kcnq5	28.2690766816861	33.785218436366	42.8727470289936	26.7120513769673	67.6847091566967	69.7029935646534
Rims1	13.1249284593543	6.14276698843019	17.5888192939461	2.22600428141394	9.79647106215348	8.82316374236118
Ogfrl1	100.960988148879	90.0939158303094	107.73151817542	158.04630398039	80.152945053983	64.4090953192366
B3gat2	8.07687905191031	6.14276698843019	2.19860241174326	7.79101498494879	3.56235311351035	26.4694912270836
Smap1	1114.60930916362	1304.31419054334	1090.50679622466	1166.4262434609	829.137687169535	1203.47953445807
Sdhaf4	322.065552194924	337.85218436366	253.938578556347	409.584787780165	248.474129667347	249.695533908822
Fam135a	1290.28142854267	1322.74249150863	1313.6649410166	1262.1444275617	1199.62241097461	2038.15082448543
Lmbrd1	1867.77828075426	1904.25776641336	2064.48766462692	2625.57204992774	1294.02476848264	1253.77156778952
Phf3	2042.44079025182	2285.10931969603	2031.50862845078	1837.56653430721	2602.29894941931	2863.99895077044
Ptp4a1	2718.87941084931	2811.33969170488	2554.77600244567	2625.57204992774	1798.09773404435	2524.30714668953
Prim2	195.864317008825	176.092653668332	249.54137373286	183.64535321665	426.591785342865	214.402878939377
