"","x"
"H174CON1",23508091.6710656
"H174CON2",24685992.9813073
"HNF4AOE1",23151202.0473673
"HNF4AOE2",24976062.9830317
"HNF4GOE1",21075075.1677719
"HNF4GOE2",22368570.3043224
