	GS4	GS5	GS6	GS3	GS7	MTA2_KO_4	MTA2_KO_5	WT_Ctrl_3	WT_Ctrl_4
Xkr4	31.5979006792417	26.7385665768351	32.1603248220361	35.9418720855095	32.891224402051	25.0083918834543	23.406225144655	32.6494535484889	46.3998402759408
Rp1	-0.78277333476517	6.59461335174493	-0.78277333476517	-0.78277333476517	1.05083507701529	0.78277333476517	0.78277333476517	1.88938273527626	0.78277333476517
Sox17	0.375771433146653	0.375771433146653	0.375771433146653	0.375771433146653	0.375771433146653	-0.375771433146653	-0.375771433146653	-0.375771433146653	2.63040003202657
Mrpl15	714.660201627326	733.20231075707	859.754041556901	915.935287541621	657.790676731717	871.322004500077	782.710055663605	721.619056565356	729.422897842669
Lypla1	2261.48955678084	2607.44341158563	2140.16905678291	2039.76240090358	2224.90889183244	2486.73606647019	2116.78662477227	2209.9923111953	2205.50365187058
Gm37988	-0.441790748853868	-0.441790748853868	3.97611673968481	-0.441790748853868	-0.441790748853868	0.441790748853868	0.441790748853868	0.441790748853868	0.441790748853868
Tcea1	1014.4969201398	1160.41230357475	1148.07680435799	1380.21222823021	1164.8931962962	1347.69612711986	1113.33076519273	1144.28439575318	1089.1618740134
Rgs20	0.673883236233627	-0.224991468850935	-0.224991468850935	-0.224991468850935	5.27583376649045	0.224991468850935	0.224991468850935	3.54481967038422	0.224991468850935
Atp6v1h	1087.11334323869	1099.87260620482	1224.42978967376	1258.19627301883	1455.35283004565	1250.38692829944	1171.08093199987	1229.16974869551	1249.3342647506
Oprk1	0	0	0	0	0	0	0	0	0
Npbwr1	0	0	0	0	0	0	0	0	0
Rb1cc1	1398.85661040649	1309.56142405412	1150.48802082706	1212.729930701	1222.11755023213	1328.03621930276	1137.17033799258	1296.5022467382	1273.2940249431
Alkal1	0	0	0	0	0	0	0	0	0
St18	24.7643557275371	13.0362960573211	29.6529281146092	101.45273961653	64.6710331025702	27.4533529807981	36.762010733652	45.982856131212	76.6636622491922
Pcmtd1	955.709917485026	917.801491725593	960.601445689086	1128.99594996586	1158.07842918188	974.154815105797	919.930144966851	1082.20946726764	1120.65535989768
Sntg1	2.07595740013617	1.17708269505161	1.17708269505161	6.22498274136543	1.17708269505161	3.01513105560619	-0.0480902882665779	7.67579250903713	-1.17708269505161
Rrs1	399.9033090342	531.107176759031	420.298490631634	668.28219020865	480.770836849397	493.848539122008	526.105133049004	470.373514543315	509.962416072004
Adhfe1	23.056453613011	43.6277593270059	37.6491292674914	57.4531824171463	72.1491025477521	27.2653206333035	39.3687875532626	66.2953833590001	54.2190101923592
Vxn	0	0	0	0	0	0	0	0	0
Mybl1	47.7659731586131	39.1325687047181	39.064372517779	45.1138929892429	30.3084345802863	57.7646890668448	34.6646292212214	38.3300446099519	30.3488306624936
Vcpip1	1037.21668439135	1117.01455556318	895.44555265316	1076.48129792282	964.649111661176	1346.33642645244	916.755054013183	902.546289482127	907.007991805605
Sgk3	51.2851439608375	28.4735687661397	36.3831796286724	110.328149660674	126.442759678229	60.7340113039154	54.6241812597821	92.1468279388778	74.8252208530676
Mcmdc2	0.456923674640333	0.456923674640333	0.456923674640333	0.456923674640333	0.456923674640333	0.940480908912268	1.80106113892973	-0.456923674640333	-0.456923674640333
Tcf24	1.18941136702355	14.4687074027418	2.07299286473129	1.18941136702355	3.02301977880401	9.98982530139725	2.19756585333154	6.5568544365541	-1.18941136702355
Ppp1r42	0.250514288764435	0.250514288764435	0.250514288764435	0.250514288764435	0.250514288764435	-0.250514288764435	-0.250514288764435	-0.250514288764435	1.75360002135104
Cops5	981.199355588733	1010.69933084924	1075.57547693593	957.552434026093	941.842289621063	1054.31771313492	1020.16030623202	1014.39437951913	884.622710730789
Cspp1	436.669526797304	336.118223944134	360.037373841248	394.565741757793	370.176659298653	328.988536075807	326.002872181118	423.015576045321	440.04703620906
Arfgef1	4681.66722094479	5027.31813262579	4104.76764502964	5308.23985406977	4832.92103362304	5661.84289639836	5155.08948966788	4115.11333438346	4231.88538858472
Cpa6	0	0	0	0	0	0	0	0	0
Prex2	-0.143652795841524	-0.143652795841524	1.62351019957395	9.95214729678608	4.44036823360964	0.143652795841524	2.40163760941158	7.88991859941917	2.147767105957
A830018L16Rik	-0.605748005557658	-0.605748005557658	-0.605748005557658	5.45173205001892	-0.605748005557658	0.605748005557658	0.605748005557658	0.605748005557658	0.605748005557658
Sulf1	19.7072034136404	28.6532619603694	16.1117045933022	19.1404446210905	16.1117045933022	46.7715016665648	30.176984084884	4.91387401640862	-2.08290442249377
Slco5a1	9.76990397090294	5.46191949131375	0.735277297926856	4.14201286038023	-1.91546719519635	3.31287177874895	5.30244441555144	3.02207659570744	2.91752435025409
Prdm14	29.7325683357209	36.2868393453466	30.1879400268775	9.61197663966703	18.3161396817067	23.3840150776988	16.8867791355623	27.5275960214685	31.5099809887255
Ncoa2	1529.23162601148	1494.68843671037	1203.55981179478	1446.51654332675	1256.85325708205	1471.99847461596	1402.47440573824	1276.62873778581	1393.57812180037
Tram1	3288.26053631397	3280.23154310383	2992.43393407068	3167.35106285898	2536.36323196792	3799.66970733541	3195.50992327176	2685.12629717661	2531.40631886852
Lactb2	705.857931893192	707.75792464753	727.291222148886	695.828682512196	873.200257916563	776.421104897879	707.823876150668	771.409070296604	712.294763949542
Xkr9	148.322055545066	156.823793555911	179.34418682603	36.5740201479286	88.9735961790767	170.87597481392	146.30104827254	85.8923346428993	84.9607640738488
