	HCO118C	HCO118OE	HCO80C	HCO80OE	HCO83C	HCO83OE	HCO88C	HCO88OE	HCO89C	HCO89OE
NOC2L	934.438147091954	951.060605842951	665.971451762091	675.072361275542	469.214884295828	565.233484741821	444.70988199674	366.405073156253	416.833986676585	307.905825197816
KLHL17	40.5048793598327	38.9271317740371	17.5512242045646	9.58909604084577	102.051464196729	122.784801928935	130.182166311011	116.446543797604	105.554859675208	82.2419467955078
PLEKHN1	82.8937065968668	82.2778012496693	73.1301008523526	71.9182203063433	206.32143848469	113.258394882724	90.2723051061758	141.542781685018	105.554859675208	76.2242433714463
PERM1	9.4197393860076	11.5011980241473	8.77561210228231	8.63018643676119	27.7313761404154	22.2282831078244	23.7558697647831	28.1077864339043	17.2334464775849	23.0678631255693
HES4	150.715830176122	146.861451692958	56.5539446591527	65.2058530777512	634.493886092704	287.909190729916	335.432881078738	292.120209009505	180.951188014642	139.410129324093
ISG15	70.648045395057	142.437913991363	99.4569371591995	129.452796551418	327.230238456901	283.675232042712	96.9239486403151	104.400349611645	101.246498055811	107.315711062431
AGRN	10544.4562686969	8913.42846871417	8966.72543250979	8320.45863464187	8297.22774121228	6689.65472578335	6913.90833634248	6837.21905004722	8286.0564845038	5679.70908174342
RNF223	76.2998890266615	81.3930937093502	40.9528564773174	66.1647626818358	61.0090275089138	64.5678699798709	158.689210028751	138.531233138528	177.719916800095	181.534053292523
C1orf159	180.858996211346	190.21212116859	172.587038011552	180.2750055679	303.935882498953	250.862052216876	214.753062673639	294.127908040499	304.816584572283	231.68158182637
TTLL10	1.88394787720152	2.65412262095707	0.975068011364701	2.87672881225373	21.0758458667157	1.05848967180116	0.950234790591325	7.02694660847608	9.69381364364152	14.0413079894769
SDF4	6018.27149372025	6146.94799013658	5617.36681347204	5787.97837025451	3270.08387447778	4181.03420361459	3184.23678327153	3408.0691051109	4418.22484069084	4736.93554530711
B3GALT6	286.360077334631	312.301761732616	110.182685284211	201.371016857761	149.749431158243	178.884754534397	179.59437542176	201.773752614813	289.737318904397	194.572410711323
C1QTNF12	102.675159307483	176.056800523486	72.1550328409879	79.5894971390199	181.917827481125	385.290240535623	83.6206615720366	164.63132054144	121.711215747944	267.787802370739
UBE2J2	750.753229064805	903.286398665724	722.525396421243	866.854282092458	652.24196682257	731.416363214603	508.375612966359	525.013296604713	593.476813071831	525.546099034708
SCNN1D	11.3036872632091	66.3530655239268	14.6260201704705	46.9865706001443	44.3702018246646	161.948919785578	43.7108003672009	65.2502185072779	56.008701052151	83.2448973661847
ACAP3	336.284696080471	362.7300915308	284.719859318493	283.837242809035	435.93723292733	520.776918526172	485.569977992167	565.167277224576	672.104412625812	573.687726427201
PUSL1	162.961491377931	196.405073950823	131.634181534235	159.17899427804	119.799544926594	143.954595364958	84.5708963626279	117.4503933131	108.786130889755	111.327513345139
INTS11	1201.01677171597	1201.43283975324	1099.87671681938	1294.52796551418	969.488909868922	915.593566108006	950.234790591325	875.35677751302	1011.38789015327	918.702722740063
CPTP	753.579150880608	822.778012496693	723.500464432608	882.196835757811	520.240616394193	698.603183388767	489.370917154532	603.313558813446	570.857914570001	588.731984987355
TAS1R3	15.0715830176122	12.3859055644663	10.7257481250117	1.91781920816915	6.65553027369969	3.17546901540349	8.55211311532192	11.0423446704624	6.46254242909435	10.0295057067692
DVL1	3151.84479855814	3324.73093651889	3331.80739483318	3410.84146172884	5223.48200980864	5097.6862593944	3808.54104069003	4895.77408707683	4549.62987008242	4400.94710413034
MXRA8	76.2998890266615	92.8942917334976	39.9777884659527	88.2196835757811	95.3959339230289	169.358347488186	54.1633830637055	92.3541554256856	233.728617852246	269.793703512093
AURKAIP1	1424.26459516435	1429.68738515554	1468.45242511524	1577.40629871913	1759.27850234795	1651.24388800981	981.592538680839	1202.61171956491	1274.19794893644	1205.54658595366
CCNL2	139.412142912912	188.442706087952	200.864010341128	186.028463192408	2210.74530591391	1685.11555750745	1333.17941119963	1304.00052063006	1153.56382359334	967.847300703232
MRPL20	390.919184519315	405.196053466113	468.032645455057	517.811186205672	1101.4902602973	1059.54816147296	470.366221342706	528.024845151202	477.151049348133	558.643467867047
VWA1	990.956583407999	798.890908908079	589.916146875644	578.222491263	762.058216338615	766.346522384042	470.366221342706	522.001748058223	621.481163597906	360.059254873016
ATAD3C	9.4197393860076	4.42353770159512	4.87534005682351	0.958909604084577	0	2.11697934360233	5.70140874354795	1.00384951549658	9.69381364364152	5.01475285338462
ATAD3B	77.2418629652623	83.1625087899883	37.0525844318586	61.3702146614129	275.095251312921	276.265804340104	114.028174870959	144.554330231508	169.103193561302	123.362920193262
ATAD3A	418.236428738737	393.694855441966	352.974620114022	313.563440535657	187.464102709208	185.235692565203	150.137096913429	142.546631200515	215.418080969812	138.407178753416
TMEM240	1.88394787720152	0.884707540319024	6.82547607955291	0.958909604084577	16.6388256842492	4.23395868720465	2.85070437177397	5.01924757748291	6.46254242909435	9.02655513609232
SSU72	2076.11056067607	1663.25017579977	1820.4519772179	1672.3383495235	1001.6573061918	844.674758097328	1226.7531146534	1159.44619039855	1473.45967383351	1211.56428937772
FNDC10	30.1431660352243	18.5788583466995	10.7257481250117	23.0138304980298	6.65553027369969	6.35093803080698	19.9549306024178	18.0692912789385	43.0836161939623	18.0531102721846
MIB2	733.797698169992	662.645947698949	663.046247727997	674.113451671458	1083.74217956743	736.708811573609	1370.23856803269	1328.09290900198	1563.93526784083	1063.12760491754
