"","x"
"HCO118C",16613736.5931663
"HCO118OE",16088473.8584745
"HCO80C",17218070.7669856
"HCO80OE",16519363.9700508
"HCO83C",17456334.4510632
"HCO83OE",16265317.5303814
"HCO88C",16296235.8867953
"HCO88OE",16605206.8760722
"HCO89C",17247004.8916012
"HCO89OE",18096722.5748
