gene,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
Slc4a10,5.915155683172019,0.030830304579717905,0.07909395083239808,1.0120671427864152,0.31150595123735625,0.9162889785086401
Dpp4,49.37470136622438,1.2103781032656102,0.17239125997155846,6.116073179514893,9.590929555985527e-10,3.065162717584708e-7
Gcg,53.591128350343894,1.0387719211406472,0.18235617069867605,5.332454670598319,9.689396140884943e-8,1.725266192856999e-5
Fap,4.292567874093089,0.1198576853593613,0.10955316771231531,0.8224549588580341,0.41081801121245576,NA
Ifih1,1178.2521638761152,0.1639369241190254,0.1724274523616265,0.5453447297685784,0.5855164458182618,0.9623661691801567
Gca,178.10227710880304,0.11238732585024193,0.1877901293481884,0.41437590569439453,0.678598831691752,0.9673119305076184
Kcnh7,17.430205824853836,0.02014237739237663,0.16658858432511123,0.557840542286528,0.5769532754443991,0.9623661691801567
Grb14,14.114016426997694,0.05463341649029138,0.15718065225140504,0.7043569761965779,0.481210492224514,0.9549097769852162
Cobll1,867.3656373155175,0.16581873297962804,0.15026266101845892,1.042378668597007,0.29723615232040895,0.9118457379700321
Scn3a,6.667081088082865,0.363584623726795,0.1230855121924214,2.189061363692444,0.028592380239074622,0.36154011537624203
Galnt3,4725.983863762508,-0.30211920859077074,0.19034862154827192,-1.4941542522839053,0.1351353066438478,0.7352815586855647
Ttc21b,437.848316898916,-0.22499190035422717,0.1730461853644772,-1.0794373440950042,0.2803928109184727,0.9019827294496737
Stk39,401.05203332760675,-0.12787579326167803,0.19331314148708423,-0.5790644784491803,0.5625456671019744,0.9623661691801567
Cers6,4849.952270704504,0.005161188330087494,0.1387010205566934,-0.045686144828352586,0.9635604071040197,0.9968970811741543
Nostrin,1065.9181762958046,0.49579810918507067,0.1620115165441621,2.86607919588995,0.004155902643327008,0.10611462539612936
Spc25,201.48963503145708,0.0023929595419607493,0.186000045591937,0.2328007323433459,0.8159161442202059,0.97638621086415045
Abcb11,10.365755185829457,0.0878573030023427,0.1485672164866388,0.5741396007704122,0.5658733374175592,0.9623661691801567
Dhrs9,1370.2343415602004,-0.10620940619368267,0.16733054862479094,-0.7038055683509471,0.48155386550923013,0.9549097769852162
Bbs5,62.522647473507064,-0.16241064446685294,0.18873961085703883,-0.7230174708481999,0.46966915068301085,0.9528034158779254
Klhl41,3.534897537025837,-0.02438117149382867,0.09227992614987014,0.066945761595746,0.9466248822416227,NA
Fastkd1,226.5614516255563,0.18970057267498913,0.17879606011069546,1.191988875023564,0.23326560746748107,0.8790903061954107
Ppig,1267.6303573818386,0.09265763658251244,0.14537674110612264,0.7069202221573777,0.4796160563303048,0.9546230643613117
Ccdc173,8.83730759625553,-0.028775621916420285,0.12471866869150147,0.3800326098914309,0.703921208726239,0.9673119305076184
Phospho2,454.36776281741044,0.2452179636595537,0.15474506399025217,1.538348862330909,0.12396333855395116,0.7149584537051525
Klhl23,4.354720437372956,0.11079050455842725,0.10451428397093157,1.5640350376298338,0.1178093403131923,NA
Ssb,1699.8240762096966,-0.09605632879304882,0.1433518726830593,-0.546999893168545,0.5843788055176852,0.9623661691801567
Mettl5,154.67277325989443,-0.11894258162878654,0.19054560154753178,-0.48122858247647277,0.6303540487229408,0.9660313369338169
Ubr3,2883.103723326631,0.0365311512463341,0.1516739717360341,0.2323547138516047,0.8162625195146783,0.97638621086415045
Sp5,35.29380684058806,-0.040989844695305214,0.1557850661407923,0.29953611018969595,0.7645310240749603,0.9720562058635734
Erich2,5.971435738638182,-0.11328188533896519,0.12574772191323746,-0.766766487599721,0.44322036478500765,0.9493336439153913
Gorasp2,2384.2355717059954,0.03827910749599366,0.14551483298040557,0.29477006792694044,0.7681695333265124,0.9720562058635734
Tlk1,1607.4545615547572,0.09599108536713688,0.1410924824081189,0.6737281429898857,0.5004841661551558,0.9574962552146652
Mettl8,179.31983878622023,0.07596841290354378,0.18596650287491348,0.5378053880894673,0.590711411762973,0.9623661691801567
Dcaf17,404.8098234402082,0.20704929249959902,0.18187195987759572,1.3205924359843186,0.186637296298014,0.8293216616964159
Cybrd1,5.967137602802648,-0.048300270411789394,0.10855964356510611,0.5585450987191473,0.5764722176334844,0.9623661691801567
Dync1i2,4534.705748765134,-0.15120977333340688,0.12961813144276477,-1.1662207351477616,0.24352521117542036,0.8855779300414386
Slc25a12,1020.4001128140965,-0.0842978989096558,0.14349708443889175,-0.602662765582865,0.5467330564337265,0.9623661691801567
Hat1,433.33630297440027,-0.013101768926412126,0.19444008257648893,0.14427848790391803,0.8852805647301588,0.9838961710538068
Metap1d,118.90298336185995,-0.08575595972795855,0.19469084294681577,-0.1758820812868427,0.8603865829584009,0.9794876434893631
Itga6,11591.797788861673,-0.21398275280962478,0.12819086280980937,-1.58631646672432,0.11266753875348967,0.6914269832710465
Pdk1,5348.381345539841,-0.1539417158322592,0.190907551890402,-0.8322917877705475,0.40524426487301723,0.9441331339461017
Rapgef4,55.454813720459065,0.2712324312433585,0.1666324198987505,0.9106164709137704,0.36249748896264,0.9391088446052719
Map3k20,1089.504590802785,-0.1650678012567302,0.17036026480465308,-0.7804760475375451,0.43511072082887803,0.9454462091053087
Cdca7,913.4196329546123,-0.07098171218863594,0.19115916937854394,-0.1040367880249514,0.9171401543403993,0.9907466531200153
Sp3,2027.9089722237557,-0.07655547270693369,0.1467203109775853,-0.5937149423891667,0.5527027872482639,0.9623661691801567
Ola1,2302.616420231052,0.13208961060970786,0.1556423754784821,0.8151095603919511,0.4150095996753372,0.9441331339461017
Cir1,372.97208112195176,-0.050367219161664284,0.1772865168068521,-0.30969912552594847,0.7567897678321036,0.9713556807957259
Scrn3,308.99200834813047,0.241655190992873,0.18541827149220347,1.2604539457728072,0.20750565161744097,0.8566911035971462
Gpr155,9.974055118460857,0.12642409149948497,0.11530592772192472,1.2598216288536621,0.20773371549591196,0.8573486854109426
Wipf1,346.5613820736244,0.15319580661653465,0.16927814046434267,1.022799978996704,0.30640242797108586,0.9148624346607241
Chn1,7.376343155155268,0.03897650488132997,0.11960071787102237,0.7535446254515215,0.45112270559098433,0.9496421418066944
Atf2,1074.7327977158993,0.06607401849577865,0.1439280224346604,0.49523476050281634,0.6204344163716278,0.965020523872019
Atp5g3,9077.007069969606,0.16661127088513353,0.13545461927777766,1.1200389714271246,0.26269715523044407,0.8954739433415906
