gene,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
Utp4,682.1197556964609,0.5327652785130168,0.25105890780077095,2.1241295931385418,0.03365930856014513,0.17932487789923907
Sntb2,545.5671391642888,0.1721543039299737,0.16255826429274656,0.9174971533250557,0.35888218393753507,0.6232668829125536
Vps4a,1090.0614183160467,-0.23804829625065294,0.17024717251976315,-1.2191007267784268,0.2228059640950584,0.4921324917890227
Pdf,3.900772143700106,0.25477940535082166,0.17493202202225935,1.2913092505136858,0.19659646422665852,NA
Cog8,825.923566920353,0.028695532451440194,0.21265465124559543,0.26598436521445445,0.7902512501852847,0.9088604267598837
Nip7,395.2491891340923,0.40806040277220695,0.25243900976866274,1.565693866900596,0.11742030278578583,0.3516733661868006
Terf2,475.2416337571229,0.09857799575971249,0.16947605905401314,0.5292717791214469,0.5966169295379662,0.7985901390648592
Cyb5b,21681.889148274,-0.38085561193636286,0.13783587821114257,-2.6354290452744835,0.008403099238477495,0.08009551217871909
Nfat5,3005.1449003507805,0.2943662652119292,0.2112814166267699,1.0429787072620689,0.29695815448692375,0.570356475495467
Nqo1,891.1050607750972,0.5744609619618678,0.2538012660295453,1.8735730755695483,0.06098929193926691,0.24320546762323922
Nob1,575.8351251075125,0.6638201532323001,0.177470401462659,3.691798616198172,2.2267375249462504e-4,0.006361879453730683
Wwp2,2262.939114825869,-0.6413716255517895,0.15670079964968753,-3.848659214652414,1.1876609436701631e-4,0.0038772510834430515
Psmd7,1830.5909265068522,0.3295896501001005,0.20029239560049325,1.6007836967251954,0.10942483578223453,0.3385352450977415
Zfhx3,720.1834981425451,0.24032942837070284,0.22020619911936912,0.5719748771339503,0.567338994876712,0.7807351543475249
Dhx38,1681.146441232937,0.17336948216554057,0.1840531581693871,0.8621303068425235,0.38861581555725916,0.6479100196138436
Txnl4b,165.33678889985137,-0.08717099823085411,0.2326291232196006,-0.18326950833181407,0.8545865579987048,0.9395366246808087
Dhodh,173.21171328478064,0.47112506775664814,0.2505170323725896,1.7598815364739027,0.07842789448234828,0.28116925836836554
Pkd1l3,47.18756121015235,0.13927963410959923,0.2622307424074141,-0.031076758958715256,0.9752083243798141,0.989554130727319
Ist1,3957.9209568823085,-0.3049539710078313,0.1372662392843519,-2.1172022042181915,0.03424269041540514,0.18113974677985634
Zfp821,341.02362249622934,-0.11006653192468685,0.23668791004924714,-0.462832811913043,0.6434842100728129,0.8268155495124894
Atxn1l,1413.534364971109,0.0982547189064669,0.14136276253950494,0.6477910073251506,0.5171201324884285,0.7440974251285083
Ap1g1,3719.2714338119927,-0.24541509048440474,0.1425202219492064,-1.7072629497077552,0.08777318929577879,0.29816837178926664
Phlpp2,714.303546643348,-0.3890852691044787,0.17864395847023662,-1.8534676184342926,0.06381536328232919,0.24957023800035708
Marveld3,1974.7401987837286,-0.24693442462282522,0.14501119520320063,-1.6229694484623405,0.10459593602372633,0.33072068747604083
Tat,122.90578532938908,-1.0855594919114164,0.23526105434482053,-4.166397735381696,3.094506137882078e-5,0.001372012332466161
Chst4,508.4340889606649,0.14192438438389493,0.2631328261413226,0.614552419533334,0.5388503449302997,0.7584453238284089
Zfp612,93.40318784461446,0.17927498955136856,0.25317301170214007,0.5454097084434708,0.5854717647613458,0.7915552571698845
Cmtr2,224.08871511246932,0.5693686442996639,0.24572330007446386,2.316953866611287,0.020506244961104328,0.135849617282446
Hydin,6.919775532016795,0.2119240284790174,0.22452704689120423,0.7198947734508062,0.47158978626433296,NA
Vac14,977.9655902861791,0.17161681009903265,0.21831059457696997,0.8850377444024505,0.37613627452830584,0.6370581978463992
Il34,76.95426091604529,0.9223123856450042,0.26649194144715466,3.370239122290393,7.510298097042857e-4,0.01555412657368519
Sf3b3,2699.4931318205386,0.5026891751126861,0.2402017519193658,2.0653900595449066,0.03888610836463557,0.19251679207322267
Cog4,1514.4362488841357,-0.2906871630368523,0.15921137230384927,-1.7603957278051052,0.07834073321031705,0.28116925836836554
St3gal2,258.46475344470537,0.16720657862749685,0.26543579884372825,0.4993122742335731,0.6175594094742913,0.811040096705062
Ddx19a,1123.7752315139257,0.28648895874859137,0.19929084012496348,1.3798428575036121,0.16763503371255814,0.4222647010098431
Ddx19b,809.6934019305185,0.2890564090938526,0.2080512142877011,1.4136488389094515,0.1574650338895596,0.4089328638457185
Aars,3718.131920057379,-0.06178147325745359,0.16844743916233368,-0.4202538808195645,0.6742999972129111,0.8453288581669033
Pdpr,909.6614994436006,-0.14876267180161312,0.19198879476927908,-0.7015886221570464,0.4829357492534611,0.7206711361646949
Glg1,5568.130487281836,-0.17237085957498913,0.21184521589008343,-0.954635053728414,0.33976228389355717,0.6073307899790612
Rfwd3,1595.5329373158681,0.1393605902645095,0.18347511001736427,0.7709115807474088,0.44075934235628067,0.691343040794947
