gene,baseMean,log2FoldChange,lfcSE,pvalue,padj
Ncoa2,1750.5166118386812,-0.06724602145274455,0.1624126085148662,0.604392760204626,0.803987621394529
Tram1,2954.4348618948566,0.042605389814630405,0.13574938447896812,0.715970326368335,0.8679536203660135
Lactb2,1056.669329265837,-0.036236258091203594,0.15880155854060235,0.7820824953227649,0.9054589502671726
Xkr9,21.435718035385385,-0.07338549761813282,0.26926242094192115,0.3854665536694221,0.6460058958388145
Terf1,364.96576477480954,0.3569115510502619,0.25083332740338277,0.039279438785974286,0.19354205673462488
Rpl7,27426.326549488036,-4.681538716761954e-4,0.14288894516835993,0.9994968216252519,0.9997473639435068
Rdh10,3784.353253945277,0.17355347726546183,0.2357925580424672,0.24254816874287222,0.5150088527165765
Stau2,577.8106561526083,0.047612559400031944,0.17228996318869397,0.7225435227131642,0.8718444219735196
Ube2w,708.0501330469508,0.018945703344425666,0.1601539567697261,0.8852134100598346,0.9535579710092935
Eloc,820.3564024814334,-0.015113717299235533,0.1653696261908927,0.9063639065449955,0.9619684109408709
Tmem70,776.1158079316297,0.20640335986011257,0.20537055074330626,0.16544675135801282,0.4191221768405375
Ly96,89.90596520960402,-0.39682465142682644,0.3834001707173005,0.04111824530260775,0.19823862848067555
Jph1,239.51051691465622,0.343213076417576,0.24863704684391383,0.04484459118012077,0.2088038121420559
Gdap1,7.419098786527462,0.0196212867222351,0.26663460979860876,0.7035512303829471,NA
Pkhd1,229.67990814083416,-0.048550834355361505,0.22204776218272101,0.7078336390552002,0.8629673585018639
Mcm3,805.7340240055669,0.309859284009863,0.5043894413613501,0.03003178621135318,0.16759124567734285
Paqr8,1872.457932336704,-0.049441426913109786,0.19225306943475798,0.714791216638105,0.8672994694045025
Efhc1,60.10479497248131,0.005882155531207017,0.2520563610165932,0.9528667181347442,0.9798786601487005
Tram2,69.50658594557909,0.1272450732034136,0.2546683338959058,0.33723453084946076,0.6048249317720487
Tmem14a,172.86759570359237,-0.35227619876255173,0.30194764808180635,0.0515630445177202,0.22482006893994363
Gsta3,280.1442422873425,-0.034384611667828045,0.22007690129763083,0.7906754049058575,0.9090640868351921
Khdc1a,96.89759754070373,-2.34284204218071,0.5299682797151697,4.393886375065533e-7,4.1416703776306686e-5
Kcnq5,44.83779937422719,0.47477165757930995,0.622047779874292,0.02508383457723474,0.1514170571569477
Rims1,9.617025637943192,-0.0020359511173020364,0.26432667587236625,0.967861091101698,0.9859368798953133
Ogfrl1,100.23246108470292,-0.14023143899104892,0.25282033375440405,0.3054793514467875,0.5773434348230965
B3gat2,9.04018462960441,0.042701038672349895,0.2703428495709819,0.4174473566696903,NA
Smap1,1118.0789601700217,-0.14168032645101805,0.20169871521511856,0.32351772070900436,0.591994899817715
Sdhaf4,303.6017944118774,-0.19712065188295785,0.24586063558824156,0.19265411656476691,0.4565048355892369
Fam135a,1404.434420681609,0.1590252374139086,0.2227761847299416,0.28432701187171433,0.5562475337663494
Lmbrd1,1834.9820163324073,-0.4725648054804982,0.20266938448126454,0.004283346099925103,0.05163739794783828
Phf3,2277.1538621492646,0.26177889011633787,0.16790304197698874,0.05614175285296942,0.23327765477365392
Ptp4a1,2505.4953392769153,-0.23677638342669,0.20319883381940365,0.11336006865749074,0.3460054517845032
Prim2,241.02306031815152,0.35272354057559324,0.3914857641977431,0.05378291426156166,0.22849595307641332
Rab23,229.9947548051553,0.10197584848310497,0.2634354805617214,0.37233050296615744,0.6343132737387015
Bag2,257.3502714150491,0.4754560972333152,0.3970868907590909,0.025419198139097033,0.1525424490640661
Zfp451,454.4118177083262,0.5584662441880882,0.2758363470196226,0.005485584534900211,0.060412081386651724
Dst,2442.1676250334967,0.06610187270959429,0.20414814373035375,0.6348588146176437,0.8206574683225809
Ccdc115,378.4992470255465,0.40914709934016324,0.2236762688538155,0.015319651366653987,0.11454812399138968
Imp4,884.2999673783822,0.26251712307081804,0.3168774173997448,0.10517892403486243,0.33177783916240794
Ptpn18,587.3278846446865,0.18792514693389187,0.21817424866237978,0.20943934583658697,0.4756589658527381
Arhgef4,613.7762953080348,-0.06776872520029291,0.18419279634874244,0.6175040687961032,0.811040096705062
Fam168b,3450.0100953898395,0.057984956397434805,0.13320144406318463,0.6190883791294104,0.8114214597211842
Plekhb2,15610.540697802324,-0.5914914597046186,0.2419582871609064,0.0018151114763508027,0.028894547185366302
Hs6st1,2604.7046737589026,-0.2118523780197078,0.16603230674723787,0.11518857770739187,0.34838869725497423
Uggt1,3337.8455700046175,0.09631028907692063,0.14850572077475965,0.43961371694418594,0.6902027991032103
Neurl3,4755.768586279174,-0.030228816174708916,0.18720155799622978,0.8225473171259456,0.9246267614937004
Arid5a,322.6428870485395,0.36232137052834273,0.22907023484428765,0.029801404495460898,0.16707258870846786
Kansl3,1543.3919363711002,0.06455240182351797,0.1906452100166896,0.6564158974909438,0.8350453794740638
Fer1l5,96.24675993693198,0.21269926198151431,0.3036688640872029,0.14726590200049416,0.39465415555135785
Lman2l,707.7855718142014,-0.07095184848747804,0.1770514882920824,0.5984870321198041,0.8000545238979537
Cnnm4,5976.838588582498,-0.6064879852978835,0.17423575287639603,7.123048859024254e-5,0.002607645807075821
Cnnm3,533.5901495386273,0.017986007301367863,0.1542297548445496,0.888394268011366,0.9546005277292645
Ankrd39,63.92895698411271,0.2473357857134805,0.35006716323732956,0.09559834240215578,0.31259385585978644
Sema4c,93.74383230172916,0.14997118196665324,0.30856445204267424,0.13325601112771238,0.3747257949752983
Cox5b,4080.432832554452,-0.30897323771449925,0.20895713782010342,0.04795470029929194,0.21597656782649502
Actr1b,3584.818547415182,-0.06328003373077472,0.13139731899158302,0.5790636125608221,0.7884406853919018
Tmem131,9745.857583565641,0.020340944827046903,0.1409518535780417,0.8676249821211557,0.9459324827843675
Vwa3b,29.376336300678034,-0.038022415281323184,0.25220757978136193,0.6959203700928805,0.8570846451010157
Cnga3,68.55354787742274,-0.6428682532229932,0.47888562866504736,0.011736146124321022,0.0967681745578856
Inpp4a,121.95405745376546,0.09374286380256107,0.2462270201298595,0.4565099142477702,0.7007154998666568
Coa5,3637.7173690327777,-0.19748536594817784,0.18646901326123566,0.16478325029052313,0.41881534803139114
Unc50,787.6740638785855,-0.18867126768980014,0.16968181535646024,0.16897754459493705,0.4236293583970663
Mgat4a,7296.1904568072305,-0.08599081987665852,0.16851815420321087,0.5153041603083657,0.7428260534133893
Tsga10,162.48104292043396,-0.056174621993590294,0.2330476193223204,0.6498046824574641,0.8306045848878405
Lipt1,55.989891125288295,0.19094964098047823,0.2963794350894821,0.17133680194099887,0.42677337828458123
Mitd1,279.4772535696673,-0.056335719957901396,0.19024290786259013,0.6784073906703578,0.8479841257607977
Mrpl30,1287.95028945019,-0.15478098371825896,0.17245728013184358,0.2546872758597029,0.5283072915121302
Txndc9,1580.8017218624889,0.01224771421631081,0.1678887601380909,0.9481225664247848,0.9779738431667218
Eif5b,2935.846702300152,0.43884817503100265,0.18979533449763333,0.004588758235317108,0.054120221512296646
Rev1,306.7370380050215,0.22376133182780839,0.2654871880542201,0.15342727547166413,0.40384638956566965
Pdcl3,2173.603278965036,-0.055912443859268,0.194736943938061,0.6896989067941162,0.8536378839156705
Npas2,2098.464873009514,-0.3671829681842799,0.19069106554903512,0.01538961456497955,0.11466653126337929
Rpl31,10419.353413098794,-0.07388294027760055,0.1527853899529062,0.5713637223601273,0.7832189009820224
Tbc1d8,226.40950255328715,-0.025061770527620562,0.19837064505960086,0.8511088566323131,0.9389571581186452
Cnot11,646.6785874955613,0.0376768729890528,0.20813193692223236,0.7800294754296617,0.9046430730985581
Rnf149,1452.218515234981,-0.21601727855476988,0.1763120179180181,0.12044310799258211,0.3569755993511266
Map4k4,2609.9569972379513,0.3882097659638669,0.1622355998323375,0.004847709127659396,0.05599804322966505
Il1r1,110.20316775222709,0.12192800506700763,0.2792018007466458,0.26666707119999,0.5396908722459984
Il18r1,71.67101650656723,0.9877684244248304,0.4720784901169221,0.0018714357560113937,0.029516412958119097
Il18rap,68.59887919955496,1.6914845852296345,0.5002618088858802,3.3588546786412776e-5,0.001456842368044012
Slc9a4,151.31205140214664,-0.2841233233151829,0.2702342344414526,0.08889901566506403,0.30011565609883856
Slc9a2,8485.488762477145,-0.9127271874231803,0.40610069668477333,0.001410021137740107,0.02446210532824373
Mfsd9,565.0968111171152,-0.6514240606661528,0.4717063652245639,0.010300504991835635,0.09020288606968864
Tmem182,7.836800320180207,0.020492802789200192,0.2653963635481261,0.7184630073937281,NA
Mrps9,805.6463275068033,0.30964515222306943,0.18847941448988315,0.036783664015485946,0.18713864935375363
Tgfbrap1,758.225645427918,-0.004089567439954647,0.18390002088969143,0.9731262319074605,0.9889883795028618
AI597479,439.65267898594067,0.17525350429579128,0.19743454786926107,0.22663973730657413,0.49679380178803473
Fhl2,1609.9550235627166,0.11636529500350387,0.24524948205416555,0.38740192967125275,0.6468947552091737
Nck2,1532.7063432950608,-0.03174667507670336,0.1806763653553815,0.812059909345951,0.9192510814977622
Uxs1,1171.9583964524281,0.07680196013566855,0.1645950618307667,0.556809325067147,0.7728190643917469
Tpp2,2111.62424114991,0.20019785501440052,0.16686382531139118,0.13709794285850121,0.38012510873181427
Tex30,89.28191758899352,0.8077556930673218,0.5674986593414482,0.0071975477715156945,0.07277182801757971
Bivm,534.0760645513602,0.08373357552198737,0.1618148859304989,0.5214200756831543,0.7461056330388525
Ercc5,760.7925737659177,-2.661618304519278e-4,0.15678564864315442,0.9946632097366275,0.9974127394670103
Gulp1,601.6785785521103,-0.10397092820512537,0.1848564030978974,0.4486367655697527,0.6957177800484101
Wdr75,447.51220442964313,0.8948236937064461,0.5210926633713855,0.0040844921653402574,0.04999535348802477
Slc40a1,2180.961084330488,-1.2299217588160616,0.34349013700709125,1.9346020003296122e-5,9.082008057233643e-4
Dnah7b,31.370090850312483,-0.05573966713475482,0.25954142251743556,0.5444536102354725,0.7625663002373746
Dnah7c,5.7070360973756316,-0.01180526633508702,0.2652682904294824,0.8227438946452562,NA
Slc39a10,1228.2380035767217,0.2290689184133354,0.2727212072328166,0.14402149493685606,0.389887226569223
Tmeff2,4.587221636480942,-0.030050664595726327,0.2719772934228955,0.2966927966834435,NA
Cavin2,140.59844371910876,-0.459395563893091,0.34502695817472556,0.02436766368741682,0.14908177347436702
Nabp1,746.118856818044,0.022264987158077613,0.15341810395712271,0.8598802350131247,0.941560322651621
Myo1b,596.0536215030214,-1.189830563187178,0.35271136003153775,4.175639248079231e-5,0.0017236750840950508
Stat1,315.0722120367359,-0.7118047578887974,0.4204378207930121,0.0060754129106099205,0.06470530956664712
Gls,4524.388961275761,0.28269722728554414,0.17712013551301561,0.04631182404400423,0.21208831444744114
Nab1,2180.1357342602805,0.08169577561768786,0.1528979490893488,0.5204242680708946,0.7455719139632215
Nemp2,69.00674380967962,0.1937598171317998,0.2828684546011484,0.18509170122967994,0.4460009572102453
Mfsd6,3015.067552634594,-0.2225682045945718,0.1503025696926181,0.07394791542378078,0.27184740854816214
Inpp1,247.20196043809702,0.00951306213133737,0.21496815165930935,0.9443859338585693,0.9772520475985629
Hibch,359.5504607345585,0.06583924718607982,0.18630904787068875,0.6312854224462564,0.8180495602107085
1700019D03Rik,46.36728969717386,-0.11210027484494717,0.27714198729252243,0.2807164024298665,0.5527975083875525
Pms1,49.90655707715534,0.13824385175754597,0.27776058022843625,0.2571075551035757,0.5299178146110759
Ormdl1,326.7995364122947,-0.03393321624204263,0.18816235351460056,0.8018196170749785,0.9142306306220223
Osgepl1,96.27309003254403,0.30242593555908254,0.33071208839089805,0.0788620096991117,0.28167446981747785
Asnsd1,160.29878517519398,0.11559375857859787,0.21216201709093557,0.4140643945939337,0.6695440011452843
Stk17b,1611.9008312305364,-0.2741268251082528,0.22960585696915117,0.08549562868194001,0.2940155618935662
Gtf3c3,563.0997659850274,-0.027712280344609923,0.16748429362819353,0.830689409514068,0.9293628898404587
Pgap1,15209.487207957192,0.1266600276217948,0.1685477843113551,0.3399458865664864,0.6073847883824732
Ankrd44,466.1132377883549,-0.35604991766646843,0.22710518752683218,0.03197626909211505,0.1733678011962436
Sf3b1,6019.7451291842635,0.13179154221709952,0.19661246360160334,0.3538443802226139,0.6186665976372495
Coq10b,1038.5452631157002,-0.13653573029008553,0.15825094917708896,0.29068745964843185,0.5634422894189407
Hspd1,6603.439462327261,0.3124636974474032,0.3745875099533914,0.06754835950746554,0.2580981205438462
Hspe1,1643.307972648582,0.11986254348603456,0.22583503580073072,0.3955136164277857,0.6543276957085657
Mob4,1375.1275449261263,-0.11656025152006158,0.1552394292798855,0.35969246894645046,0.6236788160136093
Rftn2,22.28450620212723,-0.050300835948117045,0.26678582989430405,0.4821218110478903,0.7201347633544679
Mars2,411.87146705412005,0.2193992884300491,0.29502447870569937,0.14749844027723846,0.3950120421831816
Plcl1,17.128854752268328,0.15164609328247025,0.32289369968630643,0.05773514489894531,0.23643636671968718
Satb2,3420.9781119315585,-0.14207716674411822,0.14499799994915677,0.24935355931969605,0.5227625944876213
1700066M21Rik,197.3099489266225,0.1386910560138048,0.20543274364665062,0.33430630670846573,0.6019325917993573
Tyw5,94.51401783183172,0.13343586352816478,0.2555801808389471,0.3195071409786371,0.5889775153457444
Maip1,210.7040639519843,0.19651983406094065,0.23404322896035734,0.19615855032525698,0.46038627927202025
Spats2l,111.18125644411742,-1.3698659660568193,0.3618284986167136,8.239893104365223e-6,4.730294202804406e-4
Kctd18,171.12927118418256,0.0504988065226542,0.2025244410793037,0.7122398247237183,0.8656199963776716
Sgo2a,88.62674388766779,0.23346009389640596,0.3263654866316677,0.11684462655464703,0.35090681279333585
Aox1,12.024579170758065,2.918521234561321,1.549839830159323,0.0017167861916633123,0.0279234341038064
Bzw1,6253.9538336477535,0.21601748965487855,0.2576976418897981,0.16507100367591604,0.4188646349455268
