gene,baseMean,log2FoldChange,lfcSE,pvalue,padj
Supt16,1667.3187640866481,-0.0015289837476365413,0.11590600808621226,0.9827437909019644,0.9977532693743664
Chd8,1696.3308104521634,-0.07176437404843031,0.11819126595400965,0.28743503416807736,0.9038221184657953
Rab2b,26.77485269681184,-0.015007749156071025,0.12872892662095423,0.5294190029095402,0.9600213682371622
Tox4,1774.727737930429,-0.08129829320761976,0.11641293731556296,0.2510542102360498,0.8913729594117391
Mettl3,248.3175046804435,0.02347727462527982,0.11631973329198853,0.6707218269733617,0.9673119305076184
Sall2,5.38114223675242,-0.0021825795924510136,0.12954822548691855,0.786092321326344,0.9742323449350255
Dad1,2060.928498475086,0.01580129206962166,0.10910700348385753,0.7937996000007338,0.9748726632382589
Abhd4,4116.946134972059,0.02302105285333591,0.10614182939054043,0.7216342444698474,0.9673119305076184
Oxa1l,1743.9638430906105,-0.013497463145261757,0.11304551102610283,0.7996313417981692,0.9748726632382589
Slc7a7,2799.6266522120277,0.04646627314210683,0.11427161754416024,0.4577413293727797,0.9506183029570111
Mrpl52,1072.066286260421,-0.015677821678821112,0.10918937190726331,0.792103396045679,0.9748726632382589
Mmp14,1865.8534741010533,-0.37158250321457414,0.19101184634790894,0.0034752841655040197,0.09416509095400458
Lrp10,7929.108093451785,0.043054178565591385,0.10226485488799224,0.5158351697244267,0.9595769303951807
Rem2,29.639063414632464,-0.015025210016385212,0.129005706936057,0.5058300599120884,0.9574962552146652
Prmt5,1022.7820623072907,0.02675580716529987,0.12764343510920764,0.47780477043660247,0.9545872055724944
Haus4,212.0081425328804,0.028093923601896872,0.1276324726695273,0.4568522631980791,0.9503939538909102
Ajuba,2880.873282007414,0.02613257164671069,0.12369830530076172,0.5688996694748514,0.9623661691801567
4931414P19Rik,171.15953252367746,-0.03186991506925061,0.12341377610025182,0.5290593166927268,0.9600213682371622
Psmb5,1503.55303258858,0.0035328781671912267,0.1118125813037228,0.9666664649830148,0.9968970811741543
Cdh24,57.05760453816731,-0.021562286970124238,0.1295448772555587,0.4158213070014083,0.9441331339461017
Acin1,2270.5845958197697,0.20479015786122218,0.19301749844074556,0.035143795415805666,0.40546651058157246
1700123O20Rik,713.5108805399387,0.09892016710450903,0.14689214727171923,0.1496643147938575,0.7679769533102676
Slc7a8,6.572204422450583,0.02282714260728117,0.1322283566784028,0.07128108909505418,0.5713488710487172
Homez,323.2486749293792,-0.045519888170940964,0.12460170557196078,0.40053053104182773,0.9441331339461017
Ppp1r3e,247.12935293613805,0.008319270045931252,0.11498564026214313,0.8785042958650157,0.9831977454032433
Bcl2l2,822.2462855168701,0.02875508874436181,0.1245783308837915,0.5281211297439798,0.9600213682371622
Pabpn1,638.590428028102,-0.029283733549680755,0.12236559634642791,0.5510208876635473,0.9623661691801567
Ngdn,406.1943353705306,0.06669222630243057,0.12892816665419496,0.2784574920078053,0.9019066385055683
Zfhx2,338.39514370073357,-0.037695018881928784,0.11987605695992379,0.5009143376773408,0.9574962552146652
Thtpa,206.64677804250303,-0.0037426508197939043,0.12201403161417194,0.9278670360598646,0.9931293970320851
Ap1g2,1221.5599897612929,0.028190930967106814,0.10805152007375372,0.6705065298559687,0.9673119305076184
Jph4,6.272474943511388,0.017857567601034297,0.1312405439240035,0.08800367069995764,0.6252712729620394
Dhrs4,907.1329380745265,0.1938442386312232,0.22580124763116977,0.0383988813685144,0.4227947503331833
Pck2,1034.339376711856,-0.2553826461423278,0.8363450924466608,0.010393174479306785,0.19837752941819262
Dcaf11,2327.7891464742574,0.2041366691372914,0.19740035878799753,0.03648072664114301,0.4137359207053744
Psme1,1658.2095066833426,-0.009674466714834039,0.10192928715740747,0.8774637970763337,0.9831977454032433
Emc9,97.39411873391252,0.01944320712333794,0.12536179175338621,0.624361738508094,0.965203265019616
Psme2,1883.2774198224215,0.00453536251221986,0.11134642922871321,0.9401625987110797,0.9951040862747517
Rnf31,838.568993516923,-0.05120996759293265,0.13124940988626727,0.3042860062134973,0.9148624346607241
Irf9,642.0202804316673,-0.044615561696789395,0.12594802879368414,0.3937317157373364,0.9441331339461017
Rec8,79.4849904684088,-0.025560937744479987,0.1301240888686404,0.36583485995422527,0.9402224517281761
Ipo4,456.75912310520755,0.015634095216436095,0.12521308771245115,0.6763826337053198,0.9673119305076184
Tm9sf1,1562.0516055443986,0.013230454975503628,0.11061317507268492,0.8225105665546533,0.9772443604961273
Tssk4,18.371083556800965,-0.0031120179076280594,0.1287441044013969,0.8480499226815198,0.9781289330758359
Mdp1,864.8488710717429,-0.012808791547820388,0.11904145794156998,0.7867948087478355,0.9744105050947228
Nedd8,1768.0070517463998,0.016593178430085537,0.11680584550338924,0.7440621760164007,0.9706300592763206
Gmpr2,157.5478180253417,4.839821537331712e-4,0.1174780143642656,0.9942701818972778,0.9994652225020254
Tinf2,356.15451040151044,0.021646044606424015,0.12163563119951876,0.6482121703299897,0.966945778105542
Tgm1,184.1717444564372,-0.031054384747486584,0.13195924722706165,0.2719716604275443,0.8988330693292066
Rabggta,643.0560879358179,-0.0761719773224051,0.12891522813779857,0.24870563852658048,0.8887233596890193
Dhrs1,1402.5851364206299,0.11971056375905828,0.15284091145582385,0.11345675186330027,0.692111648894835
Nop9,688.3524839822045,0.014467994571053272,0.12223996755218239,0.7426554465668647,0.9706300592763206
Cideb,243.24453171443147,0.11126810755380587,0.1853778434454015,0.05320784099032446,0.4945432737534706
Ltb4r2,16.549943650708858,0.056955785095160416,0.14763540140801587,0.00675313625433217,0.14715225572376953
Ltb4r1,3.947425634218839,0.004271974674710321,0.1295323611164849,0.6530835667880504,NA
Adcy4,6.669600183498835,0.001102089891862406,0.12916266905453685,0.9291354108351293,0.9931293970320851
Ripk3,1898.8769252499562,-0.0936137178492435,0.1331690160937635,0.18415696088647018,0.8232899427865726
Cbln3,307.49768845204517,0.025341713783932223,0.11592273535015016,0.6507431294954602,0.966945778105542
Khnyn,3219.6736964807105,-0.02475916305711149,0.1274291367956343,0.4926664327193701,0.9569301930412993
Sdr39u1,328.60344576706115,0.012156969768155208,0.11649181152033831,0.8180977415012516,0.9766817014220989
Atp12a,279.5811807002935,-0.032627140423281915,0.1326875612263335,0.23796817813923765,0.8808122750737842
Cenpj,98.37105464833901,-0.015114558983336699,0.12468171473656267,0.6895733791053273,0.9673119305076184
