sample_name	sgRNA
Ctrl_1	cas9
Ctrl_2	cas9
Satb2_KO1	satb2
Satb2_KO2	satb2
Mta2_KO1	mta2
Mta2_KO2	mta2
Chd4_KO1	chd4
Chd4_KO2	chd4
Gatad2_KO1	gatad2
Gatad2_KO2	gatad2
Smarcd2_KO1	smarcd2
Smarcd2_KO2	smarcd2
Smarca4_KO1	smarca4
Smarca4_KO2	smarca4
Smarca5_KO1	smarca5
Smarca5_KO2	smarca5
Rbbp4_KO1	rbbp4
Rbbp4_KO2	rbbp4
Ctbp2_KO1	ctbp2
Ctbp2_KO2	ctbp2
Ncor1_KO1	ncor1
Ncor1_KO2	ncor1
